Top-K,Classifier,Acc_Baseline,P_Macro_Baseline,R_Macro_Baseline,F1_Macro_Baseline,P_Weighted_Baseline,R_Weighted_Baseline,F1_Weighted_Baseline,Acc_SMOTE,P_Macro_SMOTE,R_Macro_SMOTE,F1_Macro_SMOTE,P_Weighted_SMOTE,R_Weighted_SMOTE,F1_Weighted_SMOTE
10,SVM,0.15302139666118034,0.3428579697137543,0.41877189405103943,0.12470228127044745,0.8710056609661854,0.15302139666118034,0.19965056866650135,0.17392428873736185,0.343459828986896,0.42200995884829523,0.13722635553877352,0.8712060487701396,0.17392428873736185,0.23166363576488164
10,RF,0.44735480837056196,0.33003576798208517,0.3477405786516902,0.23948253237190167,0.8586171104554476,0.44735480837056196,0.5622924111735698,0.38257700446743476,0.34599876254463785,0.3711822102870801,0.23726925790548062,0.8614001300844397,0.38257700446743476,0.4974801362942233
10,KNN,0.9235128144838938,0.34137920215853296,0.3334754290642896,0.3208447519876971,0.8600771301977536,0.9235128144838938,0.8875137343295477,0.753091935104632,0.3394438597562029,0.36937763369311977,0.3310473558862918,0.8596874374040796,0.7530919351046319,0.8012255488012737
20,SVM,0.15744180578415237,0.34361222333333546,0.4199828728680448,0.12742837212122657,0.8727980450384589,0.15744180578415237,0.20667080600883658,0.18483423465788856,0.3435985227961684,0.42186874912708655,0.14349796412762367,0.8710534026331866,0.18483423465788856,0.24812268451961228
20,RF,0.44742534681401364,0.33004158544104406,0.3477660220020706,0.2395095652229768,0.8586284663757071,0.44742534681401364,0.5623595970498482,0.3946625911121561,0.3470934806993741,0.3701772383362188,0.2420778427270425,0.8615662752352349,0.3946625911121561,0.5101942424785517
20,KNN,0.9236538913707971,0.5131842966062532,0.33403065516107744,0.32189352231580803,0.8686793285664549,0.9236538913707971,0.8876304069785592,0.7486480131671761,0.33859747887174046,0.36829990838776167,0.32923894562291284,0.8591012089958839,0.7486480131671761,0.7983871457339909
30,SVM,0.16334352221960968,0.34493745175150753,0.4227159744625135,0.13111934061038033,0.8758754620853323,0.16334352221960965,0.215804245166131,0.19769574418057842,0.3437279855368802,0.4245488315671266,0.15102518669454404,0.8701774952077251,0.19769574418057842,0.2667662403975408
30,RF,0.44740183399952976,0.3300120914276922,0.34763667262941506,0.2394821753605957,0.858580869354326,0.44740183399952976,0.5623457055553137,0.40195156360216316,0.35096919238963187,0.3755280852888932,0.2483117441388151,0.8623020268828165,0.40195156360216316,0.5174595285515734
30,KNN,0.9236303785563131,0.5117658541856759,0.334526513440311,0.3229049082491105,0.8684371839763034,0.9236303785563131,0.8876643056900065,0.7472842699271103,0.33998836794939113,0.3685497495418821,0.330383801464123,0.8596331879439576,0.7472842699271103,0.7977985094529284
40,SVM,0.1629202915588996,0.344957576525317,0.42220070959264505,0.1308370556684377,0.8760519993945209,0.1629202915588996,0.21525504702139803,0.19677874441570656,0.3435285268716474,0.42421806801218165,0.15047450662467982,0.8697215366279683,0.19677874441570656,0.26542011487466044
40,RF,0.4474488596284975,0.3300438314543032,0.3477745031188641,0.23951907498815841,0.8586323067365992,0.4474488596284975,0.5623820815889621,0.4018104867152598,0.3518142142808079,0.3764067418694819,0.2494093647893192,0.8623726407539566,0.4018104867152598,0.5174678367070978
40,KNN,0.9235128144838938,0.4514216982176016,0.3339797684603167,0.32186506276929755,0.8649945602997363,0.9235128144838938,0.88755959190213,0.7471431930402069,0.3399722353891553,0.36926580512145124,0.33041869710307586,0.8597810342027966,0.7471431930402069,0.7977600318190753
50,SVM,0.1629202915588996,0.344957576525317,0.42220070959264505,0.1308370556684377,0.8760519993945209,0.1629202915588996,0.21525504702139803,0.19677874441570656,0.3435285268716474,0.42421806801218165,0.15047450662467982,0.8697215366279683,0.19677874441570656,0.26542011487466044
50,RF,0.4474488596284975,0.3300438314543032,0.3477745031188641,0.23951907498815841,0.8586323067365992,0.4474488596284975,0.5623820815889621,0.4018104867152598,0.3518142142808079,0.3764067418694819,0.2494093647893192,0.8623726407539566,0.4018104867152598,0.5174678367070978
50,KNN,0.9235128144838938,0.4514216982176016,0.3339797684603167,0.32186506276929755,0.8649945602997363,0.9235128144838938,0.88755959190213,0.7471431930402069,0.3399722353891553,0.36926580512145124,0.33041869710307586,0.8597810342027966,0.7471431930402069,0.7977600318190753
